title,release_date,genres,overview,first_genre
Dead Man Walking,1995-12-29,Drama,justic drama base true stori man death row last day form strong relationship nun teach forgiv give spiritu accompani execut susan sarandon oscar best femal actress convinc portray sister helen prejean,Drama
Across the Sea of Time,1995-10-20,Adventure|History|Drama|Family,young russian boy thoma minton travel new york passeng russian freighter close elli island get thus start journey america way immigr former time thoma search famili ancestor emigr decad ago sent letter home togeth sampl new profess 3d-photographi boy follow relat trace counter-check old new york use antiqu viewer place look today way audienc get see big appl former time well today,Adventure
It Takes Two,1995-11-17,Comedy|Family|Romance,ident differ background orphan amanda wealthi alyssa meet summer camp decid switch place play matchmak alyssa dad roger kind social worker care amanda,Comedy
Clueless,1995-07-19,Comedy|Drama|Romance,shallow rich social success cher top bever hill high school peck scale see matchmak cher first coax teacher date embolden success decid give hopeless klutzi new student tai makeov when tai becom popular cher realiz disapprov ex-stepbroth right misguid fall,Comedy
"Cry, the Beloved Country",1995-12-15,Drama,south-african preacher goe search wayward son commit crime big citi,Drama
Richard III,1995-12-29,Drama|War,shakespear play transplant set,Drama
Dead Presidents,1995-10-06,Action|Crime|Drama|History,depict heist old bill retir circul destin govern money burn howev broad address issu black american involv vietnam war subsequ disillusion progress social issu civil right back home unit state 1960s,Action
Restoration,1995-12-29,Drama|Romance,aspir young physician robert merivel found servic king charl ii save life someon close king merivel join king court live high life provid someon posit merivel order marri king mistress order divert queen suspicion given order king fall love situat worsen merivel find love new wife eventu king find reliev merivel posit wealth fall grace leav merivel first start travel reunion old friend rediscov love true medicin realli mean physician,Drama
Mortal Kombat,1995-08-18,Action|Fantasy,generat evil sorcer victori hand-to-hand battl mortal enemi win tenth mortal kombat tournament desol evil reign multivers forev to save earth warrior must overcom seem insurmount odd inner demon superhuman foe action/adventur movi base popular video game time,Action
Se7en,1995-09-22,Crime|Mystery|Thriller,homicid detect desper hunt serial killer crime base dead sin dark haunt film take viewer tortur remain victim next season det sommerset research sin effort get killer mind novic partner mill scoff effort unravel case,Crime
Pocahontas,1995-06-14,Adventure|Animation|Drama|Family,histori come glorious life disney epic anim tale love adventur new world pocahonta nativ american woman father arrang marri villag best warrior vision tell chang come soon come face face form capt john smith,Adventure
When Night Is Falling,1995-05-05,Drama|Romance,prudish woman work tenur literaci professor larg urban univers find strang attract free-spirit liber woman work local carniv come town,Drama
Guardian Angel,1994-11-22,Action|Thriller|Drama,detect turn bodyguard cynthia mckay cynthia rothrock hire psychot ici seductress nina lindel lydi denier woman kill mckay lover month earlier vendetta heart mckay accompani flamboy play woman glamour world super-rich protector uniqu role revers woman protect man woman erupt dead triangl passion suspens action,Action
Mighty Aphrodite,1995-09-13,Comedy|Romance,when lenni wife amanda adopt babi lenni realiz son genius becom obsess find boy biolog mother hope brilliant learn max mother linda ash kindheart prostitut porn star lenni determin reform immor lifestyl greek chorus chime relat plot greek mytholog quirki comedi,Comedy
Lamerica,1994-01-01,Drama|Foreign,fior italian conman arriv post communist albania gino young apprentic set shoe factori never open con requir nativ albanian design spiro impoverish confus former polit prison chairman board when fior return itali get govern fund project spiro unexpect disappear gino set journey find search lead discov spiro tragic person histori wit albanian poverti firsthand,Drama
The Big Green,1995-09-29,Action|Adventure|Comedy|Family,depress texa town british foreign exchang teacher anna attempt inject life hopeless kid introduc soccer re terribl first anna football-hero assist whip shape work overtim pair help kid build self-esteem also get involv solv famili squabbl,Action
Georgia,1995-05-19,Drama,sadi look older sister georgia success folk singer 's happili marri children ca n't break bar-band circuit hit big time desper covet 's part due attract drug booz also unwis choic men final sadi achill heel rough unlov voic differ sister crowd-pleas sing,Drama
Home for the Holidays,1995-11-02,Comedy|Drama|Romance,lose job make soon ex-boss find daughter plan spend thanksgiv boyfriend claudia larson face spend holiday famili wonder surviv crazi antic,Comedy
The Postman,1994-09-22,Comedy|Drama|Romance,simpl italian postman learn love poetri deliv mail famous poet use woo local beauti beatric,Comedy
The Confessional,1995-09-29,Thriller|Drama|Mystery,year quebec citi rachel  unmarri pregnant work church fill shame unburden guilt young priest confidenti confession present year pierr lamontagn return quebec attend father funer meet adopt brother marc begun question ident embark quest root would lead quebec 1950s past present converg complex web intrigu answer mysteri lie,Thriller
The Indian in the Cupboard,1995-07-14,Adventure|Family|Fantasy,nine-year-old boy get plastic indian cupboard birthday find involv adventur indian come life befriend,Adventure
Eye for an Eye,1996-01-12,Drama|Thriller,'s fire brimston time griev mother karen mccann take justic hand kangaroo court los angel fail convict robert doob monster rape murder 17-year-old daughter,Drama
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,Comedy,when ashtray shawn wayan move south central l.a live father appear age  like talk tough smoke reefer fall gang-bang cousin loc dog marlon wayan requisit pistol uzi carri thermo-nuclear warhead self-defens will ashtray abl keep live straight life ,Comedy
Two If by Sea,1996-01-12,Comedy|Romance,frank o'brien petti thief 7-year-long girlfriend roz want put end unsteadi lifestyl last job involv steal valuabl paint frank take roz island coast new england want sell paint also hope sag relationship get posit push back not everyth goe plan,Comedy
Bio-Dome,1996-01-12,Comedy,bud doyl loser noth live girlfriend activ involv save environ friend could n't care less save earth day group scientist begin mission live bio-dom year outsid contact bud doyl mistaken becom part project,Comedy
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,Action|Science Fiction,jobe resuscit jonathan walker want jobe creat special comput chip would connect comput world network walker would control use walker n't realiz group teenag hacker stop plan,Action
Two Bits,1995-10-22,Drama|Family,'s hot summer day south philli 12-year old gennaro live widow mom ail grandpa sit hold tight last quarter 's promis gennaro gennaro would like buy ticket plush new movi theater grandpa 's readi pass quarter pass final reward unfinish busi woman past enlist gennaro act emissari,Drama
French Twist,1995-02-08,Comedy|Romance,learn husband infidel housewif invit itiner lesbian move none live ever,Comedy
Friday,1995-04-26,Comedy,craig smokey guy los angel hang porch friday afternoon smoke drink look someth,Comedy
From Dusk Till Dawn,1996-01-19,Horror|Action|Thriller|Crime,seth gecko younger brother richard run bloodi bank robberi texa escap border mexico home-fre next morn pay local kingpin surviv dusk till dawn rendezv point turn hell strip joint,Horror
Fair Game,1995-11-03,Action|Thriller|Romance,max kirkpatrick cop protect kate mcquean civil law attorney renegad kgb team termin,Action
Kicking and Screaming,1995-10-06,Comedy|Drama|Romance,colleg graduat grover girlfriend jane tell 's move pragu studi write grover declin accompani decid instead move sever friend ca n't quit work inertia escap univers pull nobodi want make big decis would radic alter life none want end chet profession student tend bar tenth year univers studi,Comedy
Bed of Roses,1996-01-26,Drama|Romance,seed love plant lisa high-pow invest banker receiv flower secret admir fairy-tal fantasi clash workahol way soon find sometim 's harder seem love conquer,Drama
Big Bully,1996-01-26,Comedy|Family,writer return hometown face childhood nemesi life ultim ruin bulli want reliv pain past tortur,Comedy
Screamers,1995-09-08,Horror|Science Fiction, sirius year distant mine planet ravag decad war scientist creat perfect weapon blade-wield self-repl race kill devic known screamer design purpos hunt destroy enemi life form,Horror
The Crossing Guard,1995-11-15,Drama|Thriller,daughter die hit run freddi gale wait year john booth man respons releas prison day releas gale visit booth announc kill week use time tri make peac entourag even find romanc gale life spiral obsess toward booth bring edg saniti end week men find collis cours,Drama
The Juror,1996-02-02,Drama|Thriller,gangster boss trial murder mob thug known teacher tell anni laird must talk fellow juror not-guilti verdict impli ll kill son fail manag becom clear mobster might want silenc good send oliv abroad tri gather evid plot set final showdown,Drama
Antonia's Line,1995-09-12,Drama|Comedy,world war ii antonia daughter daniell go back dutch hometown antonia late mother bestow small farm antonia settl join tightly-knit unusu communiti includ quirki friend crook finger would-b suitor bas eventu antonia granddaught great-granddaught help creat strong famili empow women,Drama
Once Upon a Time... When We Were Colored,1996-01-26,Romance|Drama,film relat stori tight connect afro-american communiti inform call color town inhabit live depend world racist oppress everywher told boy call cliff spent childhood see life communiti joy sorrow live other decid leav better life north remain thing come serious situat promin businessman muscl white competitor use racist intimid respons communiti must make decis submit meek alway final fight right,Romance
Angels and Insects,1995-09-10,Drama|Romance,victorian england wealthi patriarch sir harald alabast invit impoverish biologist william adamson home william tri continu work distract alabast seduct daughter eugenia william eugenia begin torrid romanc coupl becom closer young scientist begin realiz dark disturb thing happen close door alabast manor,Drama
White Squall,1996-02-02,Action|Drama,teenag boy discov disciplin camaraderi ill-fat sail voyag,Action
Dunston Checks In,1996-01-12,Adventure|Comedy|Family,hotel manag robert grant forc boss postpon famili vacat hotel critic check troubl critic realli villain jewel thief orangutan assist name dunston when dunston get loos tri escap life crime aid robert son havoc hijink lot laugh abound ,Adventure
Black Sheep,1996-02-01,Comedy,when dignifi albert donnelli run governor team move keep slow-wit klutzi younger brother mike eye media to baby-sit mike campaign assign sarcast steve get experi lifetim tri take mike town elect,Comedy
Nick of Time,1995-11-22,Crime|Drama|Thriller,gene watson public account arriv train union station los angel accompani 6-year-old daughter lynn ordinari look approach pair sinist peopl name smith jone,Crime
The Journey of August King,1995-09-14,Drama,journey august king multi-dimension drama north carolina farmer august king widow way home year sell produc purchas stock good need surviv winter journey come run-away slave young woman august king must decid violat law help slave freedom els leav hunt ultim return slave owner,Drama
Mary Reilly,1996-02-23,Drama|Horror|Thriller|Romance,housemaid fall love dr jekyl dark mysteri counterpart mr hyde,Drama
Vampire in Brooklyn,1995-10-26,Comedy|Horror|Romance,maximillian lone survivor race vampir come brooklyn search way live next full moon ticket surviv rita nypd detect n't know 's half vampir maximillian whatev necessari put spell,Comedy
Beautiful Girls,1996-02-09,Comedy|Drama|Romance,snowi winter small fiction town knight ridg massachusett group lifelong buddi hang drink struggl connect women affect decis dream desir,Comedy
Broken Arrow,1996-02-09,Action|Adventure|Drama|Thriller,when rogu stealth-fight pilot vic deakin deliber drop radar maneuv air forc end stolen nuclear warhead deakin co-pilot riley hale militari hope get back travers desert canyon utah hale team park ranger terri carmichael put deakin back box,Action
A Midwinter's Tale,1995-12-01,Comedy,work actor joe volunt help tri save sister local church communiti put christma product hamlet somewhat advic agent margaretta cast assembl still avail even christma prepar profit share basi may get paid anyth expect get cream cream bring problem foibl along someth bigger start emerg perhap apt name villag hope,Comedy
La Haine,1995-05-31,Drama,aimless while away day concret environ dead-end suburbia vinz hubert said jew african arab give human face franc immigr popul bristl resent social margin slowli simmer reach climact boil point la hain mean hate,Drama
Shopping,1994-12-06,Action|Adventure|Drama|Science Fiction|Thriller,dark hip urban stori barren anonym citi underclass sport choic ram-raid excit game stolen car driven shop window aid large-scal loot polic arriv tommi 's busi billi jo 's labour love competit tommi billi grow fierc stake becom higher shop trip increas riski,Action
Heidi Fleiss: Hollywood Madam,1995-12-27,Documentary,documentari crew bbc arriv l.a intent interview heidi fleiss year arrest run brothel trial sever month elaps interview crew search anyon ll talk young woman peopl lot say camera retir madam name alex fleiss work fleiss one-tim boyfriend ivan nagi introduc alex alex nagi n't like crew shuttl said  said when final interview fleiss spend time recit alex nagi say ask reaction,Documentary
City Hall,1996-02-16,Drama|Thriller,accident shoot boy new york lead investig deputi mayor unexpect far-reach consequ,Drama
Bottle Rocket,1996-02-21,Comedy|Crime|Drama,releas mental hospit follow nervous breakdown directionless anthoni join friend dignan seem far less sane former dignan hatch hair-brain scheme as-yet-unspecifi crime spree somehow involv former boss suppos legendari mr henri,Comedy
Mr. Wrong,1996-02-16,Comedy|Romance,singl lone woman find seem perfect man date soon regret derang possess person emerg worst still convinc anyon els jekyll/hyd true natur,Comedy
Unforgettable,1996-02-23,Drama|Mystery|Science Fiction|Thriller,ray liotta star medic examin acquit wife murder mani still question innoc obsess find wife killer possibl solut present experiment serum design neurobiolog linda fiorentino abil transfer memori person consequ liotta driven solv case inject serum bring closer closer find killer bring closer death,Drama
Happy Gilmore,1996-02-16,Comedy,fail hockey player-turned-golf whiz happi gilmor unconvent approach antic grass court ire rival shooter mcgavin determin win pga tournament save granni hous prize money meanwhil attract tour publicist tri soften happi imag,Comedy
The Bridges of Madison County,1995-05-28,Drama|Romance,photograph robert kincaid wander life housewif francesca johnson day 1960s,Drama
Nobody Loves Me,1994-11-07,Drama|Comedy|Family,overview found,Drama
Muppet Treasure Island,1996-02-16,Action|Comedy|Music|Family|Adventure,tell stori flint last journey young jim hawkin billi bone heart attack die jim friend attack pirat gang escap town hire boat crew find hidden treasur reveal bone die voyag sea soon find everyon board trust,Action
Catwalk,1995-12-08,Documentary,documentari follow christi turlington model spring fashion week milan pari new york,Documentary
Headless Body in Topless Bar,1995-05-20,Crime,ex-con hold group peopl hostag topless bar,Crime
Braveheart,1995-05-24,Action|Drama|History|War,enrag slaughter murron new bride childhood love scottish warrior william wallac slay platoon local english lord soldier lead villag revolt eventu entir countri rise english rule,Action
Taxi Driver,1976-02-07,Crime|Drama,mental unstabl vietnam war veteran work night-tim taxi driver new york citi perceiv decad sleaz feed urg violent action attempt save preadolesc prostitut process,Crime
Rumble in the Bronx,1995-01-30,Crime|Action|Comedy|Thriller,keong come hong kong visit new york uncl wed uncl run market bronx keong offer help uncl honeymoon stay bronx keong befriend neighbor kid beat neighborhood thug caus problem market petti thug local gang stumbl crimin situat way head,Crime
Before and After,1996-02-23,Drama|Thriller,parent deal effect son accus murder girlfriend,Drama
Margaret's Museum,1995-09-13,Drama,town men die coalpit margaret macneil quit happi singl small cape breton island town meet neil curri charm sincer bagpipe-play gaelic-speak dishwash matter ca n't avoid spectr pit forev,Drama
Happiness Is in the Field,1995-01-31,Comedy,franci boss small plumb suppli compani harass tax collector strike employe imposs wife daughter joy share lunch friend gerard then tv show call  show woman ger search husband disappear year ago lost husband look ident twin franci ,Comedy
Anne Frank Remembered,1995-06-08,Documentary|Drama|Foreign,use previous unreleas archiv materi addit contemporari interview academi award-win documentari tell stori frank famili present first fully-round portrait brash free-spirit daughter ann perhap world famous victim holocaust written dawn m barclift,Documentary
The Young Poisoner's Handbook,1995-01-20,Comedy|Crime|Drama,sinist tale genius gone wrong young poison handbook chronicl young man descent mad absurd backdrop suburban english life hugh o'conor play graham young schoolboy london suburb dead obsess toxic substanc caus dabbl experiment murder,Comedy
If Lucy Fell,1996-03-08,Comedy|Romance,joe luci roommat best friend luci love life embarrass dull convinc joe infatu neighbor 's never met n't stabl romanc month must jump brooklyn bridg,Comedy
Steal Big Steal Little,1995-09-29,Comedy|Drama,ruben robbi twin brother adopt mona wealthiest eccentr women santa barbara ruben devot mona robbi devot money so mona leav fortun estat ruben start battl brother soon lead mad mayhem even attempt murder ruben side lou perilli ex-chicago cop use car dealer know law get robbi side ruthless businessman reed tyler turn swift profit mona properti walk shifti line eddi agopian famili lawyer n't care side win long 's winner side re steal big steal littl re steal hilari comedi greed power brother love,Comedy
Race the Sun,1996-03-22,Action|Adventure|Comedy|Drama|Family,bunch high school misfit hawaii introduc new teacher attend scienc fair draw inspir build solar car win trip compet world solar challeng australia,Action
The Boys of St. Vincent,1992-12-06,Drama,true stori boy sexual abus orphanag ran religi communiti newfoundland,Drama
Boomerang,1992-06-30,Comedy|Romance,marcus success advertis execut woo bed women almost compani merger find new boss ravish jacquelin treat exact way complet traumatis work goe bad downhil,Comedy
Chungking Express,1994-07-14,Drama|Comedy|Romance,day cop buy pineappl expir date may symbol day ll get lost love 's also got eye mysteri woman blond wig oblivi fact 's drug dealer cop distraught heartbreak breakup ex drop spare set key local cafe waitress let apart spruce life,Drama
The Star Maker,1995-09-21,Drama|Romance,adventur decept photograph travel small villag sicili pretend work big film studio rome,Drama
Flirting with Disaster,1996-03-22,Comedy|Romance,adopt child new father mel colpin ben stiller decid name son know birth parent determin make cross-countri quest find accompani wife nanci patricia arquett inept yet gorgeous adopt agent tina tea leoni depart epic road trip quick devolv farc mistaken ident wrong turn overzeal love-struck atf agent josh brolin richard jenkin,Comedy
The Silences of the Palace,1994-09-30,Drama,death princ bring young woman back palac born servitud linger legaci harem brought light frost window velvet curtain,Drama
Pie in the Sky,1996-02-09,Comedy|Romance,pie sky american romant comedi film young man obsess traffic gridlock fall love avant-gard dancer,Comedy
Angela,1995-01-01,Comedy|Drama,ten year old girl name angela lead year old sister elli various regimen purif attempt rid evil believ caus mother mental ill precoci say least angela vision lucif come take sister away remedi remain circl doll toy see vision virgin mari come think lead end befit mental state,Comedy
Frankie Starlight,1995-11-22,Drama|Romance|War,quirki stori young boy adventur grow stun beauti mother differ men love,Drama
Jade,1995-10-13,Action|Thriller|Mystery|Romance,someon nasti hatchet job san fransisco big nois assist d.a take charg investig web blackmail prostitut involv governor old lover law man emerg prime suspect deal person feel well case,Action
Nueba Yol,1995-08-16,Comedy|Drama|Romance,balbuena genial illeg immigr make way new york citi take bite big appl hope find better life soon begin fade balbuena encount obstacl hardscrabbl uncar metropoli,Comedy
From the Journals of Jean Seberg,1995-09-08,Documentary,mark rappaport creativ bio-pic actress jean seberg present first-person autobiograph format seberg play mari beth hurt seamless interweav cinema polit american societi cultur film theori inform entertain move viewer seberg mani marriag well film role discuss extens involv black panther movement subsequ investig fbi cover notabl detail french new wave cinema russian expressionist silent film career jane fonda vanessa redgrav clint eastwood also intens examin much film base conjectur rappaport encourag viewer re-examin idea women film thought-provok pictur,Documentary
Man of the Year,1995-09-15,Comedy,first-tim director dirk shafer also pen raucous mockumentari blend fact fiction re-creat reign playgirl magazin centerfold year when shafer choos keep fact 's secret magazin editor find live ultim lie incap give femal reader realli want will succumb lover pressur come closet ,Comedy
The Neon Bible,1995-08-23,Drama,train teenag boy think life flamboy aunt friendship act emot shield troubl famili film evok haunt qualiti memori creat heartfelt portrait boy life rural southern town,Drama
Virgin Mary,1995-10-12,Drama,medjugorj ba group kid claim virgin mari appear hill local priest believ spread word religi tourism blossom communist govern concern arrest priest,Drama
Bad Boys,1995-04-07,Action|Comedy|Crime|Thriller,marcus burnett hen-peck famili man mike lowri foot-loos fanci free ladi man miami policemen hour reclaim consign drug stolen station nose to complic matter order get assist sole wit murder pretend,Action
The Amazing Panda Adventure,1995-08-25,Action|Adventure|Drama|Family,far home lush bamboo forest china ten-year-old ryan tyler help young girl goe wonder journey rescu babi panda taken poacher,Action
The Basketball Diaries,1995-04-21,Drama|Crime,film adapt street tough jim carrol epistl kaleidoscop free fall harrow world drug addict,Drama
An Awfully Big Adventure,1995-07-21,Romance|Drama|Comedy,aw big adventur drama film theatr compani liverpool set base novel name beryl bainbridg,Romance
Amateur,1994-08-05,Crime|Comedy|Drama|Thriller,man wake alley bleed memori stumbl coffe shop befriend charit ex-nun fail attempt write market pornographi,Crime
Apollo 13,1995-06-30,Drama,true stori technic troubl scuttl apollo lunar mission risk live astronaut jim lovel crew fail journey turn thrill saga heroism drift mile earth astronaut work furious ground crew avert tragedi,Drama
Rob Roy,1995-04-13,Adventure,highland scotland rob roy tri lead small town better futur borrow money local nobil buy cattl herd market when money stolen rob forc robin hood lifestyl defend famili honour,Adventure
The Addiction,1995-01-10,Drama|Horror,vampir doctor student tri follow philosophi nocturn comrad control thirst blood,Drama
Batman Forever,1995-06-16,Action|Crime|Fantasy,dark knight gotham citi confront dastard duo two-fac riddler former district attorney harvey dent two-fac believ batman caus courtroom accid left disfigur side edward nygma computer-genius former employe millionair bruce wayn get philanthropist riddler former circus acrobat dick grayson famili kill two-fac becom wayn ward batman new partner robin,Action
Beyond Rangoon,1995-05-24,Drama|Thriller,patricia arquett star american widow laura bowman young doctor 's unwit drawn polit turmoil vacat burma late fiction drama base actual event bowman initi left san francisco sister franc mcdormand attempt escap pain memori husband son violent death fight escap thailand could prove harrow,Drama
Blue in the Face,1995-09-15,Comedy,auggi run small tobacco shop brooklyn new york whole neighborhood come visit buy cigarett small talk movi lou reed tri explain cut health insur bill keep smoke madonna act sing telegram,Comedy
Congo,1995-06-09,Action|Adventure|Drama|Mystery|Science Fiction|Thriller,peopl embark expedit congo mysteri expans unexplor africa human greed law natur gone berserk when thrill-seek ulterior motiv stumbl race killer ape,Action
Crimson Tide,1995-05-12,Action|Thriller|Drama,us nuclear missil sub young first offic stage mutini prevent trigger happi captain launch missil confirm order,Action
Crumb,1994-09-10,Documentary,movi chronicl life time r crumb robert crumb cartoonist/artist drew keep truckin fritz cat play major pioneer role genesi underground comix interview mother brother wife ex-girlfriend well select vast quantiti graphic art treat dark comic ride man subconsci mind,Documentary
Desperado,1995-08-25,Thriller|Action|Crime,gunsling embroil war local drug runner,Thriller
Devil in a Blue Dress,1995-09-15,Drama|Mystery|Thriller,late los angel easi rawlin unemploy black world war ii veteran job prospect bar easi meet dewitt albright mysteri white man look someon investig disappear miss white woman name daphn monet suspect hide citi black jazz club strap money face hous payment easi take job soon find head,Drama
Die Hard: With a Vengeance,1995-05-19,Action|Thriller,new york detect john mcclane back kick bad-guy butt third instal action-pack seri find team civilian zeus carver prevent loss innoc live mcclane thought 'd seen genius name simon engag mcclane new partner  belov citi dead game demand concentr,Action
The Doom Generation,1995-10-27,Action|Comedy|Crime|Drama,jordan white ami blue troubl teen pick adolesc drifter xavier red togeth threesom embark sex violence-fil journey america psycho quickiemart,Action
Feast of July,1995-10-12,Drama|Crime,abandon young woman late 19th centuri england taken rural coupl handsom son tragic consequ result,Drama
First Knight,1995-07-07,Action|Adventure|Drama|Romance,timeless tale king arthur legend camelot retold passion period drama arthur reluct hand crown lancelot guinever torn loyalti husband grow love rival lancelot must balanc loyalti throne reward true love,Action
Free Willy 2 - The Adventure Home,1995-07-19,Adventure,jess becom reunit willi year whale jump freedom teenag tri rescu killer whale orca oil spill,Adventure
Hackers,1995-09-14,Action|Crime|Thriller|Drama,new friend teenag arrest us secret servic ban use comput write comput virus discov plot nefari hacker must use comput skill find evid pursu secret servic evil comput genius virus,Action
Jeffrey,1995-08-18,Comedy|Drama|Romance,jefferi young gay man new york decid sex much decid becom celib immedi meet man dream must decid love danger boyfriend die,Comedy
Johnny Mnemonic,1995-05-26,Adventure|Action|Drama|Science Fiction|Thriller,data courier liter carri data packag head must deliv die burden kill yakuza dystopian johnni keanu reev data traffick implant allow secur store data sensit regular comput network deliveri run accept packag exceed implant safeti limit kill data remov time also contain inform far import valuabl ever imagin race time must avoid assassin sent kill remov data end life,Adventure
Jury Duty,1995-04-12,Comedy|Drama,when jobless tommi collin discov sequest juror earn free room board well 5-a-day get assign juri murder trial onc everyth prolong trial deliber make sequestr comfort,Comedy
Kids,1995-07-28,Drama|Crime,controversi portray teen new york citi expos deepli disturb world sex substanc abus film focus sexual reckless freckle-fac boy name telli goal sex mani differ girl when jenni girl sex test posit hiv know contract diseas telli when jenni discov telli idea safe sex sex virgin continu pass diseas unsuspect girl jenni make busi tri stop,Drama
Living in Oblivion,1995-01-20,Drama|Comedy,film filmmak take place day set non-budget movi ultim tribut independ filmmak,Drama
Love & Human Remains,1993-05-20,Comedy|Drama,dreari urban landscap anonym canadian citi dark comedi group twentysometh look love mean 90s film focus roommat david gay waiter given act career candi book review also david ex-lov david candi live entangl david friend candi date,Comedy
Mad Love,1995-05-26,Drama|Family|Romance,matt fall casey new girl school 's fun-lov eccentr 's dark whimsi matt ca n't begin comprehend when casey attempt commit suicid parent place mental institut matt spring togeth young lover head road trip believ love cure casey problem matt start wonder though inspir misguid,Drama
Mallrats,1995-10-20,Romance|Comedy,dump girlfriend best friend seek refug local mall,Romance
